"","ukr","en","","","NOTES – use \n for newline","max length"
"damage_explosion","vybux","explosion","","","",""
"damage_fire","voğonj","fire","","","",""
"damage_melee","blyžnij bij","melee","","","",""
"damage_drill","sverdlo","drill","","","",""
"damage_slice","rozriz","slice","","","",""
"damage_ice","lid","ice","","","",""
"damage_healing","zcilennja","healing","","","",""
"damage_physicshit","heavy impact","physics hit","","","",""
"damage_radioactive","toksyny","toxic","","","",""
"damage_poison","otruta","poison","","","",""
"damage_water","voloğistj","wetness","","","",""
"damage_fall","padinnja","fall","","","",""
"damage_drowning","potoplennja","drowning","","","",""
"damage_frommaterial","škoda vid materialu: $0","damage from material: $0","","","",""
"damage_kick","kopnjak","kick","","","",""
"damage_holy_mountains_curse","Prokljattja Svjatoï ğory","Holy Mountain's curse","","","",""
"stat_depth","Ğlybyna:","Depth:","","","",""
"stat_time","Čas:","Time:","","","",""
"stat_places_visited","Vidvidanyx miscj:","Places visited:","","","",""
"stat_enemies_slain","Vbyto voroğiv:","Enemies slain:","","","",""
"stat_max_hp","Maks. OZ:","Max HP:","","","",""
"stat_gold","Zoloto:","Gold:","","","",""
"stat_items_found","Znajdeno predmetiv:","Items found:","","","",""
"stat_orbs","Zibrano sfer:","Orbs collected:","","","",""
"stat_total_deaths","Zağaljna ğlybyna:","Total deaths:","","","",""
"stat_total_play_time","Zağaljno času nağrano:","Total play time:","","","",""
"stat_total_wins","Zağaljno peremoğ:","Total wins:","","","",""
"stat_cause_of_death","Pryčyna smerti: '$0'","Cause of death: '$0'","","","",""
"stat_best","(Najbiljše: $0)","(Best: $0)","","","",""
"credits_music","Z muzykoju vid Grotto ta Niilo Takalainen","With music by From Grotto and Niilo Takalainen","","","",""
"credits_sounddesign","Zvukovyj dyzajn Niilo Takalainen","Sound design by Niilo Takalainen","","","",""
"credits_fmod","Noita vykorystovuje FMOD Studio vid Firelight Technologies Pty Ltd","Noita uses FMOD Studio by Firelight Technologies Pty Ltd","","","",""
"credits_copyright","Noita (c) Nolla Games Oy 2019","Noita (c) Nolla Games Oy 2019","","","",""
"progress_perks","Zdibnosti","Perks","","","",""
"progress_actions","Zaklynannja","Spells","","","",""
"progress_secrets","Sekrety","Secrets","","","",""
"progress_enemies","Voroğy","Enemies","","","",""
"progress_unlocked","Rozblokuvannja","Unlocks","","","",""
"progress_completed","$0 $1 sekret(iv) znajdeno","$0 $1 secret(s) found","","","",""
"progress_kills","Vbyvstv: $0","Kills: $0","","","",""
"progress_unknown","???","???","","","",""
"progress_ending0","Doslidženyj sekret znyzu -","Discovered the secret below -","","","",""
"progress_ending1","Doslidženyj sekret zverxu -","Discovered the secret above -","","","",""
"progress_ending01","Doslidženi sekrety znyzu ta zverxu -","Discovered the secrets above and below -","","","",""
"status_wet","Mokryj","Wet","","","",""
"statusdesc_wet","Mokryj odjağ zaxyŝaje vas vid voğnju.","Wet clothes protect you from fire.","","","",""
"status_oiled","V nafti","Oiled","","","",""
"statusdesc_oiled","Nafta robytj vas slyzjkym ta leğkozajmystym.","Oil makes you slippery and more flammable.","","","",""
"status_bloody","Zakryvavlenyj","Bloody","","","",""
"statusdesc_bloody","Zakryvavlenyj odjağ zaxyŝaje vas vid voğnju.\nVy vidčuvajete pidvyŝenyj šans krytyčnyx udariv.","Bloody clothes protect you from fire.\nYou sense an increased chance of attaining critical hits.","","","",""
"status_slimy","V slyzu","Slimy","","","",""
"statusdesc_slimy","Odjağ v slyzu odjağ zaxyŝaje vas vid voğnju.\nSlyz uskladnjuje peresuvannja.","Slimy clothes protect you from fire.\nThe mucus makes moving around difficult.","","","",""
"status_radioactive","V toksynax","Toxic","","","",""
"statusdesc_radioactive","Toksyny na odjağu poviljno ponyžujutj vaše zdorov'ja.\nMokryj odjağ zaxyŝaje vas vid voğnju.\nMože buty zmytyj ridynamy.","Toxic sludge in your clothes makes your health degrade slowly.\nWet clothes protect you from fire.\nCan be washed off by liquids.","","","",""
"status_alcoholic","Alkoğolj","Alcoholic","","","",""
"statusdesc_alcoholic","Tvij odjağ prosjaknutyj važkym zapaxom vypyvky.\nPryciljuvannja vže ne take leğke.\nTa alkoğolj leğkozajmystyj!","Heavy scent of booze oozes of your clothes.\nAiming is disturbed.\nAnd alcohol is flammable!","","","",""
"status_poisoned","Otrujennja","Poisoned","","","",""
"statusdesc_poisoned","Otrujennja poviljno prynyžuje zdorov'ja.","A poisoning slowly degrades your health.","","","",""
"status_teleportation","Teleportitis","Teleportation","","","",""
"statusdesc_teleportation","You teleport uncontrollably every now and then.","A teleport curse affects you.","","","",""
"status_hp_regeneration","Reğeneracija","Regeneration","","","",""
"statusdesc_hp_regeneration","Zakljattja reğeneraciï zdorov'ja vplyvaje na vas.","A health regeneration spell affects you.","","","",""
"status_polymorph","Polimorf","Polymorph","","","",""
"statusdesc_polymorph","Ty vivcja.","You're a sheep.","","","",""
"status_polymorph_random","Xaotyčnyj polimorf","Chaos polymorph","","","",""
"statusdesc_polymorph_random","Prokljattja polimorfa vplyvaje na vas.","A polymorph curse affects you.","","","",""
"status_berserk","Bezumstvo","Berserk","","","",""
"statusdesc_berserk","Na vas vplyvaje prokljattja berserka.","A berserk curse affects you.","","","",""
"status_charm","Začarovanyj","Charmed","","","",""
"statusdesc_charm","Efekt začaruvannja vplyvaje na vas.","A charm affects you.","","","",""
"status_invisibility","Nevydymistj","Invisible","","","",""
"statusdesc_invisibility","Mağična ridyna na odjazi robytj vas nevydymym.\nZaklynannja porušujetjsja zabrudnenym abo mokrym odjağom.","The magical liquid on your clothes makes you invisible.\nThe spell is disturbed by stained or wet clothes.","","","",""
"status_on_fire","U voğni","On fire","","","",""
"statusdesc_on_fire","Vy v voğni. Znajditj vodu!","You're on fire. Find some water!","","","",""
"boss_limbs_limb_attacker","Noğy pavuka","Spider leg","","","",""
"biome_boss_arena","Laboratoriï","The Laboratory","","","",""
"biome_boss_victoryroom","Praci","The Work","","","",""
"biome_coalmine","Kopalenj","mines","","","",""
"biome_coalmine_alt","Obvalenyx kopalenj","collapsed mines","","","",""
"biome_crypt","Xram Mystectva","Temple of the Art","","","",""
"biome_desert","Pusteli","Desert","","","",""
"biome_dragoncave","Pečery drakona","Dragoncave","","","",""
"biome_ending_placeholder","Master Symbol Crypt","Master Symbol Crypt","","","",""
"biome_excavationsite","Vuğiljnyx kopalenj","Coal Pits","","","",""
"biome_fungicave","Ğrybnyx pečer","Fungal Caverns","","","",""
"biome_gold","Zoloto","Gold","","","",""
"biome_lake","Ozera","Lake","","","",""
"biome_lava","Vulkaničnoğo ozera","Volcanic Lake","","","",""
"biome_lavacave","Vulkaničnoï pečery","Volcanic Cave","","","",""
"biome_magic_gate","Svjatylyŝa","Sanctuary","","","",""
"biome_null","Nevidomosti","unknown","","","",""
"biome_pyramid","Piramidy","Pyramid","","","",""
"biome_rainforest","Pidzemnyx džunğliv","Underground Jungle","","","",""
"biome_sandcave","Piŝanoï pečery","Sandcave","","","",""
"biome_secret_entrance","Tajemnyčyx vorit","Mysterious Gate","","","",""
"biome_shop_room","Sekretnoğo mağazynu","Secret Shop","","","",""
"biome_snowcastle","Bazy Hiisi","Hiisi Base","","","",""
"biome_snowcave","Sniğovyx ğlybyn","Snowy Depths","","","",""
"biome_town_under","Zvyvysti proxody","twisty passages","","","",""
"biome_vault","Sxovyŝa","The Vault","","","",""
"biome_wandcave","Mağičnoğo xramu","magical temple","","","",""
"biome_water","Vody","water","","","",""
"biome_winter","Zasniženoï pustky","snowy wasteland","","","",""
"biome_holymountain","Svjatoï ğory","Holy Mountain","","","This is a reference to the Jodorowsky film 'Holy Mountain'",""
"biome_east","Sxidnoğo $0","East $0","","","",""
"biome_west","Zaxidnoğo $0","West $0","","","",""
"animal_player","Minä","Minä","","","doesn't need to be translated",""
"animal_boss_centipede_minion","Kolmisilmän apuri","Kolmisilmän apuri","","","doesn't need to be translated",""
"animal_boss_limbs","Kolmisilmän koipi","Kolmisilmän koipi","","","doesn't need to be translated",""
"animal_boss_dragon_endcrystal","Mato","Mato","","","doesn't need to be translated",""
"animal_lukki","Hämähäkki","Hämähäkki","","","doesn't need to be translated",""
"animal_lukki_creepy","Kasvoton Hämähäkki","Kasvoton Hämähäkki","","","doesn't need to be translated",""
"animal_lukki_creepy_long","Kasvoton Lukki","Kasvoton Lukki","","","doesn't need to be translated",""
"animal_lukki_longleg","Lukki","Lukki","","","doesn't need to be translated",""
"animal_acidshooter","Happonuljaska","Happonuljaska","","","doesn't need to be translated",""
"animal_alchemist","Alkemisti","Alkemisti","","","doesn't need to be translated",""
"animal_ant","Murkku","Murkku","","","doesn't need to be translated",""
"animal_assassin","Salamurhaajarobotti","Salamurhaajarobotti","","","doesn't need to be translated",""
"animal_barfer","Turvonnu velho","Turvonnu velho","","","doesn't need to be translated",""
"animal_bat","Lepakko","Lepakko","","","doesn't need to be translated",""
"animal_bigbat","Suurlepakko","Suurlepakko","","","doesn't need to be translated",""
"animal_bigfirebug","Suurtulikärpänen","Suurtulikärpänen","","","doesn't need to be translated",""
"animal_bigzombie","Mätänevä ruumis","Mätänevä ruumis","","","doesn't need to be translated",""
"animal_bigzombiehead","Mätänevä pää","Mätänevä pää","","","doesn't need to be translated",""
"animal_bigzombietorso","Mätänevä kroppa","Mätänevä kroppa","","","doesn't need to be translated",""
"animal_blob","Kiukkumöykky","Kiukkumöykky","","","doesn't need to be translated",""
"animal_bloodcrystal_physics","Verikristalli","Verikristalli","","","doesn't need to be translated",""
"animal_bloom","Puska","Puska","","","doesn't need to be translated",""
"animal_boss_dragon","Suomuhauki","Suomuhauki","","","doesn't need to be translated",""
"animal_chest_mimic","Matkija","Matkija","","","doesn't need to be translated",""
"animal_crystal_physics","Kirottu kristalli","Kirottu kristalli","","","doesn't need to be translated",""
"animal_darkghost","Haamu","Haamu","","","doesn't need to be translated",""
"animal_deer","Nelikoipi","Nelikoipi","","","doesn't need to be translated",""
"animal_drone","Lennokki","Lennokki","","","doesn't need to be translated",""
"animal_drone_physics","Lennokki","Lennokki","","","doesn't need to be translated",""
"animal_duck","Ankka","Ankka","","","doesn't need to be translated",""
"animal_eel","Nahkiainen","Nahkiainen","","","doesn't need to be translated",""
"animal_elk","Poro","Poro","","","doesn't need to be translated",""
"animal_firebug","Pikkutulikärpänen","Pikkutulikärpänen","","","doesn't need to be translated",""
"animal_firemage","Eldari","Eldari","","","doesn't need to be translated",""
"animal_firemage_weak","Stendari","Stendari","","","doesn't need to be translated",""
"animal_fireskull","Liekkiö","Liekkiö","","","doesn't need to be translated",""
"animal_fish","Eväkäs","Eväkäs","","","doesn't need to be translated",""
"animal_fish_large","Suureväkäs","Suureväkäs","","","doesn't need to be translated",""
"animal_flamer","Liekkari","Liekkari","","","doesn't need to be translated",""
"animal_fly","Amppari","Amppari","","","doesn't need to be translated",""
"animal_frog","Konna","Konna","","","doesn't need to be translated",""
"animal_fungus","Laahustussieni","Laahustussieni","","","doesn't need to be translated",""
"animal_gazer","Helvetinkatse","Helvetinkatse","","","doesn't need to be translated",""
"animal_ghost","Houre","Houre","","","doesn't need to be translated",""
"animal_ghoul","Sylkyri","Sylkyri","","","doesn't need to be translated",""
"animal_giant","Hiidenkivi","Hiidenkivi","","","doesn't need to be translated",""
"animal_giantshooter","Äitinuljaska","Äitinuljaska","","","doesn't need to be translated",""
"animal_healerdrone_physics","Korjauslennokki","Korjauslennokki","","","doesn't need to be translated",""
"animal_icer","Jäähdytyslaite","Jäähdytyslaite","","","doesn't need to be translated",""
"animal_iceskull","Jäätiö","Jäätiö","","","doesn't need to be translated",""
"animal_lasershooter","Mulkkio","Mulkkio","","","doesn't need to be translated",""
"animal_longleg","Hämis","Hämis","","","doesn't need to be translated",""
"animal_slimeshooter","Limanuljaska","Limanuljaska","","","doesn't need to be translated",""
"animal_slimeshooter_boss_limbs","Limanuljaska","Äitilimanuljaska","","","doesn't need to be translated",""
"animal_maggot","Toukka","Toukka","","","doesn't need to be translated",""
"animal_mimic_physics","Matkija","Matkija","","","doesn't need to be translated",""
"animal_miner","Tappurahiisi","Tappurahiisi","","","doesn't need to be translated",""
"animal_miner_weak","Tappurahiisiläinen","Tappurahiisiläinen","","","doesn't need to be translated",""
"animal_miner_fire","Tulihiisi","Tulihiisi","","","doesn't need to be translated",""
